angle,action,timestamp
1,released,1489796859.769812
1,pressed,1489796859.957372
1,released,1489796860.111587
1,pressed,1489796860.268832
1,released,1489796860.88513
1,pressed,1489796861.010347
1,released,1489796861.686975
-1,pressed,1489796862.60764
-1,released,1489796862.699082
-1,pressed,1489796863.041003
-1,released,1489796863.391126
-1,pressed,1489796863.608364
-1,released,1489796863.875386
1,pressed,1489796864.206295
1,released,1489796864.33771
1,pressed,1489796864.501585
1,released,1489796865.272681
1,pressed,1489796865.475989
1,released,1489796865.710646
1,pressed,1489796865.818387
1,released,1489796866.227518
1,pressed,1489796866.363536
1,released,1489796866.467865
1,pressed,1489796866.593239
1,released,1489796866.736637
1,pressed,1489796867.106455
1,released,1489796867.375794
1,pressed,1489796867.571805
1,released,1489796867.919557
1,pressed,1489796868.1262
1,released,1489796868.748334
1,pressed,1489796869.122583
1,released,1489796869.243357
1,pressed,1489796870.29094
1,released,1489796870.379529
-1,pressed,1489796870.923041
-1,released,1489796870.97357
1,pressed,1489796871.698377
1,released,1489796871.790344
1,pressed,1489796872.4155
1,released,1489796872.525411
1,pressed,1489796872.881015
1,released,1489796873.144471
1,pressed,1489796873.290763
1,released,1489796873.971867
1,pressed,1489796874.364275
1,released,1489796874.770021
1,pressed,1489796875.013892
1,released,1489796875.164416
1,pressed,1489796875.299217
1,released,1489796875.448925
1,pressed,1489796875.53972
1,released,1489796875.957668
1,pressed,1489796876.201699
1,released,1489796876.519415
1,pressed,1489796876.655782
1,released,1489796877.099568
-1,pressed,1489796877.467796
-1,released,1489796877.554458
-1,pressed,1489796877.800889
-1,released,1489796878.10309
-1,pressed,1489796878.501876
-1,released,1489796878.730804
1,pressed,1489796879.565435
1,released,1489796879.743671
1,pressed,1489796879.925217
1,released,1489796881.122343
1,pressed,1489796881.572264
1,released,1489796881.741438
1,pressed,1489796881.929911
1,released,1489796882.074935
1,pressed,1489796882.395572
1,released,1489796882.714474
1,pressed,1489796882.853568
1,released,1489796883.770319
1,pressed,1489796884.300648
1,released,1489796884.443238
1,pressed,1489796884.630143
1,released,1489796884.696409
-1,pressed,1489796885.623709
-1,released,1489796885.681101
1,pressed,1489796886.313112
1,released,1489796886.404849
-1,pressed,1489796886.759981
-1,released,1489796886.826071
1,pressed,1489796887.422362
1,released,1489796887.555584
1,pressed,1489796887.659521
1,released,1489796888.041609
1,pressed,1489796888.219672
1,released,1489796888.741317
1,pressed,1489796889.119664
1,released,1489796889.287126
1,pressed,1489796889.397306
1,released,1489796889.733516
1,pressed,1489796890.079191
1,released,1489796890.288907
1,pressed,1489796890.461326
1,released,1489796891.289257
1,pressed,1489796891.701484
1,released,1489796892.379525
-1,pressed,1489796892.66284
-1,released,1489796892.799029
-1,pressed,1489796893.083397
-1,released,1489796893.481118
-1,pressed,1489796893.696423
-1,released,1489796893.874519
1,pressed,1489796894.622114
1,released,1489796894.74155
1,pressed,1489796894.99886
1,released,1489796895.796144
1,pressed,1489796896.013263
1,released,1489796896.373166
1,pressed,1489796896.542499
1,released,1489796896.75941
1,pressed,1489796896.956825
1,released,1489796897.224752
1,pressed,1489796897.789312
1,released,1489796898.773697
1,pressed,1489796899.062503
1,released,1489796899.441927
-1,pressed,1489796900.473227
-1,released,1489796900.553578
1,pressed,1489796900.882289
1,released,1489796900.966878
-1,pressed,1489796901.485749
-1,released,1489796901.554352
1,pressed,1489796902.531181
1,released,1489796902.704864
1,pressed,1489796902.865919
1,released,1489796903.12776
1,pressed,1489796903.279287
1,released,1489796904.22892
1,pressed,1489796904.58449
1,released,1489796904.753667
1,pressed,1489796905.012579
1,released,1489796905.25488
1,pressed,1489796905.443489
1,released,1489796905.740729
1,pressed,1489796905.770484
1,released,1489796906.068762
1,pressed,1489796906.370581
1,released,1489796906.59263
1,pressed,1489796906.744228
1,released,1489796907.389158
-1,pressed,1489796907.756043
-1,released,1489796907.935127
-1,pressed,1489796908.146595
-1,released,1489796908.645201
1,pressed,1489796909.06964
1,released,1489796909.161254
-1,pressed,1489796909.416181
-1,released,1489796909.518298
1,pressed,1489796909.971775
1,released,1489796910.153216
1,pressed,1489796910.258169
1,released,1489796911.456095
1,pressed,1489796911.798427
1,released,1489796911.94621
1,pressed,1489796912.393288
1,released,1489796912.649649
1,pressed,1489796912.978105
1,released,1489796913.621901
1,pressed,1489796913.814665
1,released,1489796914.25692
1,pressed,1489796914.642888
1,released,1489796914.817012
-1,pressed,1489796915.989131
-1,released,1489796916.057299
1,pressed,1489796916.333544
1,released,1489796916.421339
-1,pressed,1489796916.882413
-1,released,1489796916.965625
1,pressed,1489796917.932836
1,released,1489796918.08151
1,pressed,1489796918.255663
1,released,1489796918.435773
1,pressed,1489796918.463876
1,released,1489796918.660998
1,pressed,1489796918.774302
1,released,1489796919.6012
1,pressed,1489796920.117535
1,released,1489796920.255393
1,pressed,1489796920.474142
1,released,1489796920.887396
1,pressed,1489796921.22592
1,released,1489796921.839916
1,pressed,1489796922.033688
1,released,1489796922.312881
1,pressed,1489796922.433503
1,released,1489796922.871654
-1,pressed,1489796923.045936
-1,released,1489796923.253279
-1,pressed,1489796923.630972
-1,released,1489796923.930606
-1,pressed,1489796924.081683
-1,released,1489796924.35185
1,pressed,1489796925.101868
1,released,1489796925.398801
1,pressed,1489796925.647383
1,released,1489796926.714646
1,pressed,1489796927.097826
1,released,1489796927.257963
1,pressed,1489796927.467006
1,released,1489796927.736979
1,pressed,1489796928.265478
1,released,1489796929.085221
1,pressed,1489796929.430026
